9915,130,0,3864,20250403-030500-031001.mp4
9915,38,0,5508,20250403-031001-031500.mp4
9901,193.25,0,5984,20250403-031001-031500.mp4
9899,22,0,5984,20250403-031001-031500.mp4
9911,29.75,0,1180,20250403-031500-032001.mp4
9894,8.75,0,3112,20250403-032500-033000.mp4
9894,0.75,0,6016,20250403-032500-033000.mp4
9906,14.25,0,6016,20250403-032500-033000.mp4
9906,112.5,0,5984,20250403-033001-033500.mp4
9906,156.25,0,5984,20250403-034000-034500.mp4
9895,25.5,0,5984,20250403-034000-034500.mp4
9895,170.5,0,3236,20250403-034500-035000.mp4
9894,1,0,5308,20250403-034500-035000.mp4
9895,158.5,0,5984,20250403-035000-035500.mp4
9915,170,0,5984,20250403-043001-043500.mp4
9915,316.5,0,6016,20250403-043500-044001.mp4
9901,46.75,0,6016,20250403-043500-044001.mp4
9901,231.75,0,5084,20250403-044001-044500.mp4
9908,279.5,0,5984,20250403-051001-051500.mp4
9908,343.5,0,5880,20250403-051500-052000.mp4
9900,19,0,6016,20250403-051500-052000.mp4
9900,226.25,0,4028,20250403-052001-052500.mp4
9917,133.75,0,5984,20250403-052001-052500.mp4
9917,268.25,0,6016,20250403-052500-053000.mp4
9911,96.25,0,6016,20250403-052500-053000.mp4
9911,273,0,4564,20250403-053000-053500.mp4
9895,84,0,5984,20250403-053000-053500.mp4
9895,172,0,2828,20250403-053500-054000.mp4
9906,195.25,0,6016,20250403-053500-054000.mp4
9906,73.75,0,1276,20250403-054000-054500.mp4
9914,178,0,4360,20250403-054000-054500.mp4
9913,104.75,0,5984,20250403-054000-054500.mp4
9913,212.75,0,3860,20250403-054500-055000.mp4
9912,153.25,0,6016,20250403-054500-055000.mp4
9912,219.75,0,4472,20250403-055000-055459.mp4
9905,143.75,0,5984,20250403-055000-055459.mp4
9905,43.25,0,804,20250403-055500-060000.mp4
9905,325.75,0,6001,20250403-055500-060000.mp4
9905,159.25,0,4724,20250403-060000-060501.mp4
9894,206.25,0,6016,20250403-060000-060501.mp4
9894,166.25,0,4304,20250403-060501-061000.mp4
9903,197.5,0,5984,20250403-060501-061000.mp4
9903,367.5,0,6016,20250403-061000-061501.mp4
9899,371.75,0,5984,20250403-061501-062000.mp4
9899,112.25,0,1888,20250403-062000-062501.mp4
9909,250.25,0,6016,20250403-062000-062501.mp4
9909,360.75,0,5984,20250403-062501-063000.mp4
9916,3.75,0,5984,20250403-062501-063000.mp4
9916,360.25,0,6016,20250403-063000-063501.mp4
9916,153,0,2716,20250403-063501-064000.mp4
9903,43.75,0,3772,20250403-063501-064000.mp4
9912,83.25,0,6016,20250403-064000-064501.mp4
9913,78.5,0,5978,20250403-065501-070000.mp4
9913,46.75,0,6016,20250403-070000-070501.mp4
9912,25.25,0,3552,20250403-070501-071000.mp4
9895,47.25,0,5984,20250403-071501-072000.mp4
9895,9.25,0,628,20250403-072000-072500.mp4
9911,48.25,0,5984,20250403-072500-073000.mp4
9900,141,0,6016,20250403-073000-073500.mp4
9895,12.25,0,5984,20250403-073500-074000.mp4
9901,15.5,0,6016,20250403-074500-075001.mp4
9909,94.5,0,5824,20250403-080001-080500.mp4
9915,8.5,0,5984,20250403-080001-080500.mp4
9915,49.25,0,4692,20250403-080500-081001.mp4
9895,128.5,0,6016,20250403-080500-081001.mp4
9895,23.75,0,2028,20250403-081001-081500.mp4
9917,28.75,0,2028,20250403-081001-081500.mp4
9895,35.75,0,3080,20250403-081001-081500.mp4
9917,31.5,0,4436,20250403-081001-081500.mp4
9895,69,0,5984,20250403-081001-081500.mp4
9895,7.25,0,1520,20250403-081500-082001.mp4
9913,50.75,0,3900,20250403-081500-082001.mp4
9894,2.5,0,3456,20250403-082001-082500.mp4
9909,15.5,0,5812,20250403-082001-082500.mp4
9901,29.75,0,5984,20250403-082001-082500.mp4
9894,148,0,5984,20250403-083001-083500.mp4
9894,36,0,1280,20250403-083500-084001.mp4
9912,17.5,0,2308,20250403-083500-084001.mp4
9913,35.25,0,4496,20250403-083500-084001.mp4
9914,10,0,5984,20250403-085001-085500.mp4
9900,80.75,0,6014,20250403-085500-090001.mp4
9895,67.75,0,2076,20250403-090001-090500.mp4
9915,33,0,4988,20250403-090001-090500.mp4
9901,225.75,0,3736,20250403-090500-091000.mp4
9915,139.75,0,6016,20250403-090500-091000.mp4
9895,69.25,0,3544,20250403-091001-091500.mp4
9915,117,0,3624,20250403-091001-091500.mp4
9915,71,0,5984,20250403-091001-091500.mp4
9895,17.5,0,5984,20250403-091001-091500.mp4
9895,69,0,1708,20250403-091500-092000.mp4
9900,254.5,0,6016,20250403-091500-092000.mp4
9900,74.5,0,1576,20250403-092000-092500.mp4
9895,75.25,0,3680,20250403-092000-092500.mp4
